tokens,ner_tags,story_id
"['You' 'know' 'at' 'once' 'that' 'the' 'most' 'Respected' 'and' 'least'
 'suspected' 'Personage' 'in' 'the' 'Book' 'committed' 'the' 'awful'
 'Crime' 'but' 'you' ""haven't"" 'the' 'Heart' 'to' 'Track' 'him' 'down'
 'and' 'compel' 'him' 'to' 'commit' 'Suicide']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1
"['8' 'The' 'Book' 'that' 'gets' 'away' 'with' 'one' 'Man' 'asking'
 'another' 'By' 'Jove' 'who' 'is' 'that' 'Dazzling' 'Beauty' 'in' 'the'
 'Box']",[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],1
"['The' 'Man' 'who' 'asks' 'this' 'Question' 'has' 'a' 'Name' 'which'
 'sounds' 'like' 'the' 'Title' 'of' 'a' 'Sleeping' 'Car']",[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1
"['You' 'feel' 'instinctively' 'that' 'he' 'is' 'going' 'to' 'be' 'all'
 'Mixed' 'Up' 'with' 'that' 'Girl' 'in' 'the' 'Box' 'before' 'Chapter'
 'XII']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],1
"['is' 'reached' 'but' 'who' 'can' 'take' 'any' 'real' 'Interest' 'in'
 'the' 'Love' 'Affairs' 'of' 'a' 'Man' 'with' 'such' 'a' 'Name']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],1
"['9' 'The' 'Book' 'that' 'tells' 'all' 'about' 'Society' 'and' 'how'
 'Tough' 'it' 'is']",[0 0 0 0 0 0 0 0 0 0 0 0 0],1
"['Even' 'the' 'Women' 'drink' 'Brandy' 'and' 'Soda' 'smoke' 'Cigarettes'
 'and' 'Gamble']",[0 0 1 0 0 0 0 0 0 0 0],1
"['The' 'clever' 'Man' 'of' 'the' 'World' 'who' 'says' 'all' 'the'
 'Killing' 'Things' 'is' 'almost' 'as' 'Funny' 'as' 'Ally' 'Sloper']",[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1
"['An' 'irritable' 'Person' 'after' 'reading' 'nine' 'Chapters' 'of' 'this'
 'kind' 'of' 'High' 'Life' 'would' 'be' 'ready' 'to' 'go' 'Home' 'and'
 'throw' 'his' 'Grandmother' 'into' 'the' 'Fire']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1
"['10' 'The' 'dull' 'gray' 'Book' 'or' 'the' 'Simple' 'Annals' 'of' 'John'
 'Gardensass']",[0 0 0 0 0 0 0 0 0 0 0 0],1
['A' 'Careful' 'Study' 'of' 'American' 'Life'],[0 0 0 0 0 0],1
"['In' 'Chapter' 'I' 'he' 'walks' 'along' 'the' 'Lane' 'stepping' 'first'
 'on' 'one' 'Foot' 'and' 'then' 'on' 'the' 'Other' 'enters' 'a' 'House'
 'by' 'the' 'Door' 'and' 'sits' 'in' 'a' 'four-legged' 'wooden' 'Chair'
 'looking' 'out' 'through' 'a' 'Window' 'with' 'Glass' 'in' 'it']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",1
['Book' 'denotes' 'careful' 'Observation'],[0 0 0 0],1
['Nothing' 'happens' 'until' 'Page' '150'],[0 0 0 0 0],1
['Then' 'John' 'decides' 'to' 'sell' 'the' 'Cow'],[0 0 0 0 0 0 1],1
"['In' 'the' 'Final' 'Chapter' 'he' 'sits' 'on' 'a' 'Fence' 'and'
 'Whittles']",[0 0 0 0 0 0 0 0 0 0 0],1
"['True' 'Story' 'but' ""What's"" 'the' 'Use']",[0 0 0 0 0 0],1
['Why' 'continue'],[0 0],1
"['The' 'Dyspeptic' 'said' 'that' 'when' 'he' 'wanted' 'something' 'really'
 'Fresh' 'and' 'Original' 'in' 'the' 'Line' 'of' 'Fiction' 'he' 'read'
 'the' 'Prospectus' 'of' 'a' 'Mining' 'Corporation']",[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1
"['Moral' 'Only' 'the' 'more' 'Rugged' 'Mortals' 'should' 'attempt' 'to'
 'Keep' 'Up' 'on' 'Current' 'Literature']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0],1
"['A' 'certain' 'Preacher' 'became' 'wise' 'to' 'the' 'Fact' 'that' 'he'
 'was' 'not' 'making' 'a' 'Hit' 'with' 'his' 'Congregation']",[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],2
"['The' 'Parishioners' 'did' 'not' 'seem' 'inclined' 'to' 'seek' 'him'
 'out' 'after' 'Services' 'and' 'tell' 'him' 'he' 'was' 'a' 'Pansy']",[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],2
['He' 'suspected' 'that' 'they' 'were' 'Rapping' 'him' 'on' 'the' 'Quiet'],[0 0 0 0 0 0 0 0 0 0],2
"['The' 'Preacher' 'knew' 'there' 'must' 'be' 'something' 'wrong' 'with'
 'his' 'Talk']",[0 1 0 0 0 0 0 0 0 0 0],2
"['He' 'had' 'been' 'trying' 'to' 'Expound' 'in' 'a' 'clear' 'and'
 'straightforward' 'Manner' 'omitting' 'Foreign' 'Quotations' 'setting'
 'up' 'for' 'illustration' 'of' 'his' 'Points' 'such' 'Historical'
 'Characters' 'as' 'were' 'familiar' 'to' 'his' 'Hearers' 'putting' 'the'
 'stubby' 'Old' 'English' 'words' 'ahead' 'of' 'the' 'Latin' 'and'
 'rather' 'flying' 'low' 'along' 'the' 'Intellectual' 'Plane' 'of' 'the'
 'Aggregation' 'that' 'chipped' 'in' 'to' 'pay' 'his' 'Salary']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",2
['But' 'the' 'Pew-Holders' 'were' 'not' 'tickled'],[0 0 0 0 0 0],2
"['They' 'could' 'Understand' 'everything' 'he' 'said' 'and' 'they' 'began'
 'to' 'think' 'he' 'was' 'Common']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0],2
"['So' 'he' 'studied' 'the' 'Situation' 'and' 'decided' 'that' 'if' 'he'
 'wanted' 'to' 'Win' 'them' 'and' 'make' 'everybody' 'believe' 'he' 'was'
 'a' 'Nobby' 'and' 'Boss' 'Minister' 'he' 'would' 'have' 'to' 'hand' 'out'
 'a' 'little' 'Guff']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0],2
['He' 'fixed' 'it' 'up' 'Good' 'and' 'Plenty'],[0 0 0 0 0 0 0],2
"['On' 'the' 'following' 'Sunday' 'Morning' 'he' 'got' 'up' 'in' 'the'
 'Lookout' 'and' 'read' 'a' 'Text' 'that' ""didn't"" 'mean' 'anything'
 'read' 'from' 'either' 'Direction' 'and' 'then' 'he' 'sized' 'up' 'his'
 'Flock' 'with' 'a' 'Dreamy' 'Eye' 'and' 'said' 'We' 'can' 'not' 'more'
 'adequately' 'voice' 'the' 'Poetry' 'and' 'Mysticism' 'of' 'our' 'Text'
 'than' 'in' 'those' 'familiar' 'Lines' 'of' 'the' 'great' 'Icelandic'
 'Poet' 'Ikon' 'Navrojk' 'When' 'the' 'Preacher' 'concluded' 'this'
 'Extract' 'from' 'the' 'Well-Known' 'Icelandic' 'Poet' 'he' 'paused'
 'and' 'looked' 'downward' 'breathing' 'heavily' 'through' 'his' 'Nose'
 'like' 'Camille' 'in' 'the' 'Third' 'Act']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",2
"['A' 'Stout' 'Woman' 'in' 'the' 'Front' 'Row' 'put' 'on' 'her'
 'Eye-Glasses' 'and' 'leaned' 'forward' 'so' 'as' 'not' 'to' 'miss'
 'Anything']",[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],2
"['A' 'Venerable' 'Harness' 'Dealer' 'over' 'at' 'the' 'Right' 'nodded'
 'his' 'Head' 'solemnly']",[0 0 0 0 0 0 0 0 0 0 0 0],2
['He' 'seemed' 'to' 'recognize' 'the' 'Quotation'],[0 0 0 0 0 0],2
"['Members' 'of' 'the' 'Congregation' 'glanced' 'at' 'one' 'another' 'as'
 'if' 'to' 'say' 'This' 'is' 'certainly' 'Hot' 'Stuff']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],2
"['The' 'Preacher' 'wiped' 'his' 'Brow' 'and' 'said' 'he' 'had' 'no'
 'Doubt' 'that' 'every' 'one' 'within' 'the' 'Sound' 'of' 'his' 'Voice'
 'remembered' 'what' 'Quarolius' 'had' 'said' 'following' 'the' 'same'
 'Line' 'of' 'Thought']",[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],2
"['It' 'was' 'Quarolius' 'who' 'disputed' 'the' 'Contention' 'of' 'the'
 'great' 'Persian' 'Theologian' 'Ramtazuk' 'that' 'the' 'Soul' 'in' 'its'
 'reaching' 'out' 'after' 'the' 'Unknowable' 'was' 'guided' 'by' 'the'
 'Spiritual' 'Genesis' 'of' 'Motive' 'rather' 'than' 'by' 'mere' 'Impulse'
 'of' 'Mentality']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]",2
"['The' 'Preacher' ""didn't"" 'know' 'what' 'all' 'This' 'meant' 'and' 'he'
 ""didn't"" 'care' 'but' 'you' 'can' 'rest' 'easy' 'that' 'the'
 'Pew-Holders' 'were' 'On' 'in' 'a' 'minute']",[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],2
"['He' 'talked' 'it' 'off' 'in' 'just' 'the' 'Way' 'that' 'Cyrano' 'talks'
 'when' 'he' 'gets' 'Roxane' 'so' 'Dizzy' 'that' 'she' 'nearly' 'falls'
 'off' 'the' 'Piazza']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],2
"['The' 'Parishioners' 'bit' 'their' 'Lower' 'Lips' 'and' 'hungered' 'for'
 'more' 'First-Class' 'Language']",[0 1 0 0 0 0 0 0 0 0 0 0],2
"['They' 'had' 'paid' 'their' 'Money' 'for' 'Tall' 'Talk' 'and' 'were'
 'prepared' 'to' 'solve' 'any' 'and' 'all' 'styles' 'of' 'Delivery']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],2
"['They' 'held' 'on' 'to' 'the' 'Cushions' 'and' 'seemed' 'to' 'be'
 'having' 'a' 'Nice' 'Time']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0],2
"['The' 'Preacher' 'quoted' 'copiously' 'from' 'the' 'Great' 'Poet'
 'Amebius']",[0 1 0 0 0 0 0 0 0],2
"['He' 'recited' '18' 'lines' 'of' 'Greek' 'and' 'then' 'said' 'How' 'true'
 'this' 'is']",[0 0 0 0 0 0 0 0 0 0 0 0 0],2
['And' 'not' 'a' 'Parishioner' 'batted' 'an' 'Eye'],[0 0 0 1 0 0 0],2
"['It' 'was' 'Amebius' 'whose' 'Immortal' 'Lines' 'he' 'recited' 'in'
 'order' 'to' 'prove' 'the' 'Extreme' 'Error' 'of' 'the' 'Position'
 'assumed' 'in' 'the' 'Controversy' 'by' 'the' 'Famous' 'Italian'
 'Polenta']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],2
"['He' 'had' 'them' 'Going' 'and' 'there' ""wasn't"" 'a' 'Thing' 'to' 'it']",[0 0 0 0 0 0 0 0 0 0 0],2
"['When' 'he' 'would' 'get' 'tired' 'of' 'faking' 'Philosophy' 'he' 'would'
 'quote' 'from' 'a' 'Celebrated' 'Poet' 'of' 'Ecuador' 'or' 'Tasmania'
 'or' 'some' 'other' 'Seaport' 'Town']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],2
"['Compared' 'with' 'this' 'Verse' 'all' 'of' 'which' 'was' 'of' 'the'
 'same' 'School' 'as' 'the' 'Icelandic' 'Masterpiece' 'the' 'most'
 'obscure' 'and' 'clouded' 'Passage' 'in' 'Robert' 'Browning' 'was' 'like'
 'a' 'Plate-Glass' 'Front' 'in' 'a' 'State' 'Street' 'Candy' 'Store'
 'just' 'after' 'the' 'Colored' 'Boy' 'gets' 'through' 'using' 'the'
 'Chamois']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 1 0 0 0 0 0]",2
"['After' 'that' 'he' 'became' 'Eloquent' 'and' 'began' 'to' 'get' 'rid'
 'of' 'long' 'Boston' 'Words' 'that' ""hadn't"" 'been' 'used' 'before'
 'that' 'Season']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],2
"['He' 'grabbed' 'a' 'rhetorical' 'Roman' 'Candle' 'in' 'each' 'Hand' 'and'
 'you' ""couldn't"" 'see' 'him' 'for' 'the' 'Sparks']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],2
"['After' 'which' 'he' 'sank' 'his' 'Voice' 'to' 'a' 'Whisper' 'and'
 'talked' 'about' 'the' 'Birds' 'and' 'the' 'Flowers']",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],2
"['Then' 'although' 'there' 'was' 'no' 'Cue' 'for' 'him' 'to' 'Weep' 'he'
 'shed' 'a' 'few' 'real' 'Tears']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],2
"['And' 'there' ""wasn't"" 'a' 'dry' 'Glove' 'in' 'the' 'church']",[0 0 0 0 0 0 0 0 0],2
"['After' 'he' 'sat' 'down' 'he' 'could' 'tell' 'by' 'the' 'Scared' 'Look'
 'of' 'the' 'People' 'in' 'Front' 'that' 'he' 'had' 'made' 'a'
 'Ten-Strike']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],2
['Did' 'they' 'give' 'him' 'the' 'Joyous' 'Palm' 'that' 'Day'],[0 0 0 0 0 0 0 0 0],2
['Sure'],[0],2
"['The' 'Stout' 'Lady' 'could' 'not' 'control' 'her' 'Feelings' 'when'
 'she' 'told' 'how' 'much' 'the' 'Sermon' 'had' 'helped' 'her']",[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],2
"['The' 'venerable' 'Harness' 'Dealer' 'said' 'he' 'wished' 'to' 'indorse'
 'the' 'Able' 'and' 'Scholarly' 'Criticism' 'of' 'Polenta']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],2
"['In' 'fact' 'every' 'one' 'said' 'the' 'Sermon' 'was' 'Superfine' 'and'
 'Dandy']",[0 0 0 0 0 0 0 0 0 0 0],2
"['The' 'only' 'thing' 'that' 'worried' 'the' 'Congregation' 'was' 'the'
 'Fear' 'that' 'if' 'it' 'wished' 'to' 'retain' 'such' 'a' 'Whale' 'it'
 'might' 'have' 'to' 'boost' 'his' 'Salary']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],2
"['In' 'the' 'Meantime' 'the' 'Preacher' 'waited' 'for' 'some' 'one' 'to'
 'come' 'and' 'ask' 'about' 'Polenta' 'Amebius' 'Ramtazuk' 'Quarolius'
 'and' 'the' 'great' 'Icelandic' 'Poet' 'Navrojk']",[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],2
"['But' 'no' 'one' 'had' 'the' 'Face' 'to' 'step' 'up' 'and' 'confess'
 'his' 'Ignorance' 'of' 'these' 'Celebrities']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],2
"['The' 'Pew-Holders' ""didn't"" 'even' 'admit' 'among' 'themselves' 'that'
 'the' 'Preacher' 'had' 'rung' 'in' 'some' 'New' 'Ones']",[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],2
"['They' 'stood' 'Pat' 'and' 'merely' 'said' 'it' 'was' 'an' 'Elegant'
 'Sermon']",[0 0 0 0 0 0 0 0 0 0 0],2
"['Perceiving' 'that' 'they' 'would' 'stand' 'for' 'Anything' 'the'
 'Preacher' 'knew' 'what' 'to' 'do' 'after' 'that']",[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],2
['MORAL' 'Give' 'the' 'People' 'what' 'they' 'Think' 'they' 'want'],[0 0 0 0 0 0 0 0 0],2
"['A' 'very' 'attractive' 'D' 'butante' 'knew' 'two' 'Young' 'Men' 'who'
 'called' 'on' 'her' 'every' 'Thursday' 'Evening' 'and' 'brought' 'their'
 'Mandolins' 'along']",[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],3
"['They' 'were' 'Conventional' 'Young' 'Men' 'of' 'the' 'Kind' 'that' 'you'
 'see' 'wearing' 'Spring' 'Overcoats' 'in' 'the' 'Clothing'
 'Advertisements']",[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],3
['One' 'was' 'named' 'Fred' 'and' 'the' 'other' 'was' 'Eustace'],[0 0 0 1 0 0 0 0 1],3
"['The' 'Mothers' 'of' 'the' 'Neighborhood' 'often' 'remarked' 'What'
 'Perfect' 'Manners' 'Fred' 'and' 'Eustace' 'have']",[0 0 0 0 0 0 0 0 0 0 1 0 1 0],3
"['Merely' 'as' 'an' 'aside' 'it' 'may' 'be' 'added' 'that' 'Fred' 'and'
 'Eustace' 'were' 'more' 'Popular' 'with' 'the' 'Mothers' 'than' 'they'
 'were' 'with' 'the' 'Younger' 'Set' 'although' 'no' 'one' 'could' 'say'
 'a' 'Word' 'against' 'either' 'of' 'them']",[0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],3
"['Only' 'it' 'was' 'rumored' 'in' 'Keen' 'Society' 'that' 'they' ""didn't""
 'Belong']",[0 0 0 0 0 0 0 0 0 0 0],3
"['The' 'Fact' 'that' 'they' 'went' 'Calling' 'in' 'a' 'Crowd' 'and' 'took'
 'their' 'Mandolins' 'along' 'may' 'give' 'the' 'Acute' 'Reader' 'some'
 'Idea' 'of' 'the' 'Life' 'that' 'Fred' 'and' 'Eustace' 'held' 'out' 'to'
 'the' 'Young' 'Women' 'of' 'their' 'Acquaintance']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0],3
"['The' 'D' ""butante's"" 'name' 'was' 'Myrtle']",[0 0 0 0 0 1],3
"['Her' 'Parents' 'were' 'very' 'Watchful' 'and' 'did' 'not' 'encourage'
 'her' 'to' 'receive' 'Callers' 'except' 'such' 'as' 'were' 'known' 'to'
 'be' 'Exemplary' 'Young' 'Men']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],3
"['Fred' 'and' 'Eustace' 'were' 'a' 'few' 'of' 'those' 'who' 'escaped'
 'the' 'Black' 'List']",[1 0 1 0 0 0 0 0 0 0 0 0 0],3
"['Myrtle' 'always' 'appeared' 'to' 'be' 'glad' 'to' 'see' 'them' 'and'
 'they' 'regarded' 'her' 'as' 'a' 'Darned' 'Swell' 'Girl']",[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],3
"[""Fred's"" 'Cousin' 'came' 'from' 'St' 'Paul' 'on' 'a' 'Visit' 'and' 'one'
 'Day' 'in' 'the' 'Street' 'he' 'saw' 'Myrtle' 'and' 'noticed' 'that'
 'Fred' 'tipped' 'his' 'Hat' 'and' 'gave' 'her' 'a' 'Stage' 'Smile']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0],3
['Oh' 'Queen' 'of' 'Sheba'],[0 1 0 0],3
"['exclaimed' 'the' 'Cousin' 'from' 'St' 'Paul' 'whose' 'name' 'was' 'Gus'
 'as' 'he' 'stood' 'stock' 'still' 'and' 'watched' ""Myrtle's"" 'Reversible'
 'Plaid' 'disappear' 'around' 'a' 'Corner']",[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],3
"[""She's"" 'a' 'Bird']",[0 0 1],3
['Do' 'you' 'know' 'her' 'well'],[0 0 0 0 0],3
['I' 'know' 'her' 'Quite' 'Well' 'replied' 'Fred' 'coldly'],[0 0 0 0 0 0 1 0],3
['She' 'is' 'a' 'Charming' 'Girl'],[0 0 0 0 1],3
['She' 'is' 'all' 'of' 'that'],[0 0 0 0 0],3
"[""You're"" 'a' 'great' 'Describer']",[0 0 0 0],3
"['And' 'now' 'what' 'Night' 'are' 'you' 'going' 'to' 'take' 'me' 'around'
 'to' 'Call' 'on' 'her']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],3
['Fred' 'very' 'naturally' 'Hemmed' 'and' 'Hawed'],[1 0 0 0 0 0],3
"['It' 'must' 'be' 'remembered' 'that' 'Myrtle' 'was' 'a' 'member' 'of'
 'an' 'Excellent' 'Family' 'and' 'had' 'been' 'schooled' 'in' 'the'
 'Proprieties' 'and' 'it' 'was' 'not' 'to' 'be' 'supposed' 'that' 'she'
 'would' 'crave' 'the' 'Society' 'of' 'slangy' 'old' 'Gus' 'who' 'had'
 'an' 'abounding' 'Nerve' 'and' 'furthermore' 'was' 'as' 'Fresh' 'as'
 'the' 'Mountain' 'Air']","[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",3
"['He' 'was' 'the' 'Kind' 'of' 'Fellow' 'who' 'would' 'see' 'a' 'Girl'
 'twice' 'and' 'then' 'upon' 'meeting' 'her' 'the' 'Third' 'Time' 'he'
 'would' 'go' 'up' 'and' 'straighten' 'her' 'Cravat' 'for' 'her' 'and'
 'call' 'her' 'by' 'her' 'First' 'Name']",[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],3
"['Put' 'him' 'into' 'a' 'Strange' 'Company' 'en' 'route' 'to' 'a' 'Picnic'
 'and' 'by' 'the' 'time' 'the' 'Baskets' 'were' 'unpacked' 'he' 'would'
 'have' 'a' 'Blonde' 'all' 'to' 'himself' 'and' 'she' 'would' 'have'
 'traded' 'her' 'Fan' 'for' 'his' 'College' 'Pin']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]",3
"['If' 'a' 'Fair-Looker' 'on' 'the' 'Street' 'happened' 'to' 'glance' 'at'
 'him' 'Hard' 'he' 'would' 'run' 'up' 'and' 'seize' 'her' 'by' 'the'
 'Hand' 'and' 'convince' 'her' 'that' 'they' 'had' 'Met']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],3
['And' 'he' 'always' 'Got' 'Away' 'with' 'it' 'too'],[0 0 0 0 0 0 0 0],3
