source_text,sentenceID,sentence,asih,nyakitang,kaadilan,kacurangan,setya,ngianat,wewenang,ngalawan tatanan,kasucian,kakotoran,kabebasan,panindasan
Pan Balang Tamak,46,"Ring wengi punika, Ditu koang-koang cicingne ngengsut tuara bisa tuun tra bisa menek laut Pan Balang Tamak masaut Ih jero desa tingalin cicing tiange ngraras ka punyan ketkete",0,0,0,0,0,0,0,0,0,1,0,0
Sang Aji Dharma,7, Buat kalanguan kayunida di sajeroning pamargi manggihin Ida Ula Deles makarma sareng Naga Gini putran Sang Ananta Boga,0,0,0,0,0,0,0,0,0,0,0,0
I Kepuh Mati Baan Drowaka,73, Mara nengok uli kobaran apine jag kalempagin tur katumbakin,0,1,0,0,0,0,0,0,0,0,0,0
I Donglen teken Luh Arum,61,"Satondenne, Tekad di carikne tepukina anak matekap di umane bagus gobanne kadena tuah ento gagelanne",0,0,0,1,0,0,0,0,0,0,0,0
I Lelasan tekén I Sampi,22, Jani I Beduda aliha laut katakonin Wih Iba Beduda ne Iba setata ngusak-nguakang jalan kanti I Kunang-kunang ngaba sundih ngentasin jalane,0,0,0,0,0,0,0,1,0,0,0,0
I Celempung,37, Sampunang ngandika sakadi punika jro kelian,0,0,0,0,0,0,0,0,0,0,0,0
Sampi Wadak,85, Ah ibe Lutung,0,0,0,0,0,0,0,0,0,0,0,0
I Kékér Tekén I Lutung,61,Wih Lutung jani sampun Iba ngemasin buah karman Ibane,0,0,1,0,0,0,0,0,0,0,0,0
I Donglen teken Luh Arum,56, Masaut Luh Arum,0,0,0,0,0,0,0,0,0,0,0,0
Arjuna Nangun Tapa,13, Sang Hyang Indra ngandika Cening widiadari ajak pepitu bapa ngidih tulung teken cening jani bapa ngutus I dewa luas ke gunung Indrakilane ngoda I Arjuna sane sedek nangun tapa,0,0,0,0,0,0,0,0,0,1,0,0
Maya Danawa,22, Ditu lantasan liu panjak Ida Bhatara Indrane sungkan tur liu ane seda,0,1,0,0,0,0,0,0,0,0,0,0
Bé Jeleg Tresna Telaga,17, Tanah tegal tur bangkete ngempugin tan prasida katandurin ring i manusa,0,1,0,0,0,0,0,0,0,0,0,0
Pan Jempenit tekén Mén Jempenit,108, Sasubane neked di teben tepukin lantas i dadeleg laut cotota ban i kedis muwun,0,0,0,0,0,0,0,0,0,0,0,0
Getap (satua),42, Kene suba cai dadi jelema kaliwat getap,0,0,0,0,0,0,0,0,0,0,0,0
I Cicing Gudig,31, Keto pamunyinne I Cicing Gudig teka jag ngugu kone I Patih muah panjake ane len-lenan,0,0,0,1,0,0,0,0,0,0,0,0
Lutung dadi Pecalang,39, I Singa pedih pesan laut ngengsebang nguber,0,1,0,0,0,0,0,0,0,0,0,0
I Lasan,15, kacerita dugas ento ada masih buron ane sing teka ke parumane,0,0,0,0,0,0,0,0,0,0,0,0
Cicing Alas Ngalih Balian,5, Awakne ngenah mamerag,0,1,0,0,0,0,0,0,0,0,0,0
I Kasiapa Kepuh,2, Ditu ade kedis Goak luh muani tur metinggah di carangnyane I Kasiape Kepuh,0,0,0,0,0,0,0,0,0,0,0,0
I Cita Maprekara,41, Jani ngraos kone I Kancil kene Nah yen buka pesaduan Cai ajak dadua jani lautang uli jumu edengang tongos Caine itunian Cai Macan macelep malu ka jebag krangkenge totonan tur kancing malu,0,0,0,0,0,0,0,0,0,0,0,0
I Ubuh,97, Ulung nepen tumbak laut seda jalan pejang,0,1,0,0,0,0,0,0,0,0,0,0
Maya Danawa,27, Ditu lantasan Ida Bhatara Indra masabda yeh Tukad Petanune tusing dadi anggon mawates siu tiban,0,0,0,0,0,0,1,0,0,0,0,0
I Kelesih,26,"Ring semeng punika, Gelisan satua nangkil ia I Kelesih teken I Samong sawireh I Kelesih suba nyidaang ngematiang I Blanguyang jani pantes adegang ratu dini",0,0,1,0,1,0,0,0,0,0,0,0
I Buta tekén I Rumpuh,17, Mara ia ningalin kahanan I Buta ajaka I Rumpuh buka ento lantas metu kenehne kapiolasan lakar nuduk I Buta ajaka I Rumpuh anggona pianak,1,0,1,0,0,0,0,0,0,0,0,0
Bintang Lara,9,"Ring semeng punika, Disubane I Bintang Lara kelih mara antes mlali-lali mlali kone ia di jabaan purin anake Agung ditu lantas I Bintang Lara maplalian di bongkol tembok panyengker Anake Agung tur ia nyurat di temboke kene munyin suratne Sajawaning gagak petak ja anggona nambanin rabin Ida Anake Agung tusing ja lakar kenak yen gagak petak ja anggona nambanin janten kenak keto munyin suratne ring desa ento.",0,0,0,0,0,0,0,1,0,0,0,0
I Belog Dadi Mantu,15, Teka lantas Pan Sari ngaturang rayunan di gedong sanggahne,1,0,0,0,1,0,0,0,0,0,0,0
Lutung tekén Kakua,4, Saget tepukina I Kekua berag akig sajan mirib tuna amah,0,1,0,0,0,0,0,0,0,0,0,0
I Balu Kawanan tekén I Balu Kanginan,32, Kasapa ban I Balu Kanginan Ye Beli Wayan mara teka Aa Luh beli mara teka,0,0,0,0,0,0,0,0,0,0,0,0
Dadong Jepun,118,Ulian nincapang rasa asih miwah tresna ia nemuang idup sane bagia saking pidabdabane.,1,0,1,0,0,0,1,0,0,0,0,0
Sang Bima Dadi Caru,5, Melahan suba idewek bareng mati ajak makejang katadah ban I Raksasa Baka,0,1,0,0,0,0,0,1,0,1,0,0
Katuturan Gajah ané Nyapa Kadi Aku,12, Ane jani mangda sida baan ngalahang isatru patut pasangin pangupaya singid,0,0,0,1,0,0,0,0,0,0,0,0
I Lutung Maborbor,31, Nah lamun keto jalan jani iraga nuju semere ento Kacerita I Lutung Ian I Kekua majalan nuju semere di tengah alase,0,0,0,0,0,0,0,0,0,0,0,0
I Tuung Kuning,10,"Ring semeng punika, Kacerita I Pudak jagi luas ka dajan gunung mabesen kone ia teken kurenane Wayan Wayan mani wake lakar luas joh ne nyai kene beling gede wake tonden karoan makelone luas sing satonden teka nyai sampun ngelah panak lamun muani anake cerik melahang men miara lamun luh matiang dogen tendasne tektek baang kurungane makejang pada abedik",0,1,0,0,0,0,0,1,0,1,0,1
Galuh Pitu,78, Telah amahe tur isepe siap celeng tur baas kaine teken jit kaine nenenan kalahin pules abulan pitung dina,0,0,0,0,0,0,0,0,0,0,0,0
Jayaprana lan Layonsari,30,Risampune Jayaprana budal Ida Anake Agung mabaos kapining prabekel sareng sinamian nunas pikayun pacang ngekadaya Jayaprana lakar mademang Jayaprana,0,0,0,1,0,1,0,0,0,1,0,1
I Gedé Basur,30,"Ring semeng punika, Nah sawireh I Nyoman Karang mula sadia nyerahang teken pianakne jani sampun pasti ane bakal nyakina teken Ni Sukasti tuah I Wayan Tirta",0,0,1,0,0,0,0,0,0,0,1,0
I Lelipi Gadang tekén I Katak,38,"Ring wengi punika, Yan kudang dina kaden suba majalan pangaptine I Lelipi Gadang jani ada kone bayune lakar ngamah katake",0,0,0,0,0,1,0,0,0,0,0,0
Pan Angklung Gadang,72, kacerita buin manine I Wayan Sebetan luas mabalih prajani ia meseh mapanganggo ane melah-melah,0,0,0,0,0,0,0,0,0,0,0,0
Sampi Wadak,238, Kebus uyang jrarat jriritanga ibanne lantas ya mati,0,1,0,0,0,0,0,0,0,0,0,0
Arjuna Nangun Tapa,11,Sang Hyang Indra raris ngutus widiadarine sane ayu-ayu pitung diri minakadi dedari Supraba miwah Tilottama manda ngoda tapan Sang Arjunane saking pidabdabane.,0,0,0,0,0,0,0,0,1,0,0,0
Bhagawan Domia,23, Asing ucapang Cening bakal tuutanga ban anake,0,0,0,0,0,0,0,0,0,0,0,0
I Kékér Tekén I Lutung,42, Wake nu meled nongos dini,0,0,0,0,0,0,0,0,0,0,0,0
Ekalawya,20, Guru Drona Uduh cening nyen Idewa bapa tusing pedas Ekalawya titiang sang ekalawya wangsa nisada sisian Sang Bhagawan,0,0,0,0,0,0,0,0,0,0,0,0
I Empas tekén I Angsa,35, Yan suba keto Icang ajak dadua masih lakar nangal muncuk kayu kopine ene tur ditu lakar cai kakeberang,1,0,0,0,0,0,0,0,0,0,0,0
Angsa tekén Kerkuak,32, Masaut I Kerkuak ia mai-mai neh amah be icange cang suba betekan,1,0,0,0,0,0,0,0,0,0,0,0
Sampi Wadak,151,"Sasampune punika, Nggih kwala jani Raden Galuh anak nu alit tyang ngubuin malu",0,0,0,0,0,1,0,0,0,1,0,0
Tukang pancing,58,Ditu laut makejang pada nyumbah I Aget tur makejang ngidih urip tekening ia saking pidabdabane.,0,0,0,0,0,0,0,0,1,0,1,0
I Belog Magandong,40, Keto pekeengane Pan Sari nganti ia neked sig eduke ane magulung,0,0,0,0,0,0,0,0,0,0,0,0
Bintang Lara,84, Masaut cucune Dong Kaki dija ja ada manusa bani mai bes Kaki deMen ngomong,0,0,0,0,0,0,0,0,0,0,0,0
Jero Dalang,1,Ring desa pendem sane dumun kabaos wenten dalang lintang pradnyan mawasta gurun pagep kasub ring jagat Jembrana antuk wikane ngawayang,0,0,0,0,0,0,0,0,0,0,0,0
I Alu tekén I Kedis Puuh,50, Yen uli tengah gooke ada munyin Alu paling lung magedi ngae sebum di tongose lenan,0,0,0,0,0,0,0,0,0,0,0,0
Timun Mas,35, Basang awake seduk,0,0,0,0,0,0,0,0,0,0,0,0
I Lutung Maborbor,44, Ngantos kadingehan munyine I Kekua,0,0,0,0,0,0,0,0,0,0,0,0
Lutung dadi Pecalang,9,"Ring wengi punika, I Lutung kebilbilang tumuli ngelanturang mejalan sambilanga ngrengkeng Apana ane ngeraniang gumine mebiayuhan lantas tepukina I tumisi nyerengseng mondong umahne I lutung ngengalang maekan matakon ue Tumisi dadi iba nyerucut mondong umah saking pidabdabane.",0,0,0,0,0,0,0,1,0,0,0,0
Pan Angklung Gadang,88, Di subanne neked jumahne ngenggalang ia meseh,0,0,0,0,0,0,0,0,0,0,0,0
Maya Danawa,9,Sang Kul Putih raris mayoga apanga Ida Sang Hyang Widhi Wasa ledang micayang pamargi nuntun para janane mawali subakti ring Ida Sang Hyang Widhi ring waktu punika.,0,0,0,0,0,0,1,0,1,0,0,0
I Lutung Nayanin Pekak Dukuh,8, Sawireh sada pepes ia magendingan buka keto ajaka dadua jani kapineh-pinehin gendinge ento ban I Pekak Dukuh,0,0,0,0,0,0,0,0,0,0,0,0
I Bojog tekén I Kedis Sangsiah,23, Ne Iba apang nawang diastu kai orahang Iba tusing bisa ngae umah kewala leluhur kaine taen mamanjakin Ida Betara Rama dugas Ida ngebug Sang Prabu Rahwana di Lengkapura mawastu kalah Ida Sang Prabu,0,0,0,0,1,0,0,0,1,0,0,0
I Donglen teken Luh Arum,28, Lantas kaukine I Donglen ben Luh Arum,0,0,0,0,0,0,0,0,0,0,0,0
I Langgana,52, Ditu lantas I Langgana ngelah geginan dadi petani tabia kacang-kacangan muah tomat,0,0,0,0,0,0,1,0,0,0,0,0
I Alu tekén I Kedis Puuh,40, Sinah di tengah gooke ada I Alu ngoyong ditu,0,0,0,0,0,0,0,0,0,0,0,0
Dadong Jepun,85, Diastun mabinaan pajalan hidupe sakewala raga patut tetep asih kapining anak len,0,0,1,0,0,0,0,0,0,0,0,0
Rsi Srengga,8,Ida Sang Prabhu suba kalintang kasub di gumine indik kasaktian muah kawiryan sakadi Hyang Indra Ida tusing naen keni pakewuh santukan suba pascita ring pariindik sarwa niti nakteng prabhu,0,0,0,0,0,0,0,0,1,0,0,0
Beras Kuning,3,Asing-asing ane katunas olih panjake kapica olih Ida Sang Prabu sakadi punika kahanane.,0,0,1,0,0,0,0,0,0,0,0,0
I Belog Kadéna Jaruh,83, Kurenanne jemet ngabaang ia nasi,1,0,0,0,0,0,0,0,0,0,0,0
I Donglen teken Luh Arum,110, Buin masaut curike ane luane,0,0,0,0,0,0,0,0,0,0,0,0
I Ubuh,17, Bek misi udang gede-gede pagrepe,0,0,0,0,0,0,0,0,0,0,1,0
Siap Selem,71,"Ring wengi punika, Ane sagrepa I Meng Kuuk boya ja len tuah batu ane ngranaang gigine pungak",0,1,1,0,0,0,0,0,0,0,0,0
Sampi Wadak,185, Matakon I Rangsasa teken I Lutung,0,0,0,0,0,0,0,0,0,0,0,0
Sampi Wadak,177, Be nguda ya Cokor I Dewa sapunika,0,0,0,0,0,0,0,0,0,0,0,0
I Lutung Nayanin Pekak Dukuh,17, Ih Lutung dadi keto baan Iba mapineh Iba tusing nawang kai bakal antenanga ngajak cucunne Pekak Dukuh To to sing not Iba cucunne jegeg ngoner ane maboreh kuning,0,0,0,0,0,0,0,1,0,0,0,0
I Balu Kawanan tekén I Balu Kanginan,57, Kacerita suba makelo ia makurenan kanti kone ngelah pianak muani,1,0,0,0,0,0,0,0,0,0,0,0
I Belog pengangon Bébék,53, Nah,0,0,0,0,0,0,0,0,0,0,0,0
Cicing Alas Ngalih Balian,58, Icang masemaya malaksana melah tusing demen nguluk-nguluk tusing nyikitin tur mapitulung tekening beburon ane pantes tulungin,0,0,0,0,1,0,0,0,0,0,0,0
Sang Aji Dharma,30,"Ring wengi punika, Caeritayang jani suba gede ngalinus apine di pangesengan layon rabinne agia Sang Aji Dharma mabusana sarwa putih lakar masatya malabuh geni",0,0,0,0,1,0,0,0,0,0,0,0
Belibis Putih,61, Kanti liu Narajana ngelah emas-emasan muah arta brana,0,0,0,0,0,0,0,0,0,0,1,0
I Gedé Basur,48,"Lantas, Pamragat satuane I Gede Basur kekalahang ban Ni Garu disubane ia maan pica uli Ida Batari Durga",0,0,1,0,0,0,0,0,1,0,0,0
I Wingsata tekén I Sigara,15,"Lantas, Jeg sueca kone Ida Hyang Widhi selidan suba telah dagangane laut ia mulih uli peken ring desa ento.",0,0,0,0,0,0,0,0,1,0,1,0
Kambing Takutin Macan,23, I Macan masaut beli jejeh nepukin buron tawah,0,0,0,0,0,0,0,0,0,0,0,0
I Clalongan nulungin Semut,17, Lantas tepukina I Clalongan matinggah di carang nyuhe,0,0,0,0,0,0,0,0,0,0,0,0
Cicing Alas Ngalih Balian,2, Beburon di Alas Jenggala Sila matakon-takon di kenehne Kenapa I Cicing Alas ngeling patakon I Landak tekening I Kuwuk,0,0,0,0,0,0,0,0,0,0,0,0
I Sampi masuwitra ajak Goak,15, Ia tusing demen ningehang munyin I Goak ane keras beser tur ngempengang kuping,0,1,0,0,0,0,0,0,0,0,0,0
Siap Selem,26, Tiang baang kibulne me keto pesaut panakne Tiang baang kampidne me pianakne len milu mesaut Ningeh tutur Meng Kuuke teken pianak-pianakne buka keto lantas I Siap Selem nundunin pianak-pianakne Ning bangun ning,0,0,0,0,0,0,1,0,0,0,0,0
I Baluan,57, Yan tan titiang ngaryanang bangbang anggen nanem tain ipun sinah kotor margane sami,1,0,0,0,0,0,1,0,0,0,0,0
I Botol tekén Sang Samong,52, Nah jani keto munyinne I Kancil teken I Botol Kemu suba cai mulih krana cai sing ja payu amaha teken I Samong,1,0,0,0,0,0,0,0,0,0,1,0
Pan Balang Tamak,52, Maninne makiken sangkep lantas Pan Balang Tamak ngaba jaja uli injin mapulung-pulung amun tain cicinge teken yeh laut pejang-pejangina sig sendin bale banjare muah kecirina teken yeh,0,0,0,0,0,0,0,0,0,0,0,0
I Celempung,30, Sane malih siu nanggu domas mangda jro kelian naurang tiang dumun,0,0,0,0,0,0,0,1,0,0,0,0
Pan Poleng,25, Sube keto atehine lantas tekening Pan Poleng,0,0,0,0,0,0,0,0,0,0,0,0
